"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %","Prom. Hold. %","Payout ratio %","CMP / BV","Ind PBV","Debt / Eq","ROE %","EPS 12M Rs.","ROE 3Yr %","ROCE 3Yr %"
"180.","DOMS Industries","2218.60","60.66","13464.29","0.14","61.41","14.13","592.19","18.18","26.18","70.39","9.45","12.23","2.77","0.15","22.29","36.56","25.40","30.40"
"181.","C2C Advanced","325.90","12.94","553.03","0.00","23.66","143.17","66.10","52.94","26.17","41.29","0.00","2.44","6.97","0.22","21.05","25.70","24.85","33.19"
"182.","M & B Engineer.","248.30","14.95","1419.02","0.00","25.49","48.51","351.51","7.13","26.06","70.45","0.00","2.36","1.83","0.19","28.49","17.64","24.31","23.48"
"183.","Caplin Point Lab","1559.15","19.31","11851.39","0.37","165.86","17.93","542.77","10.10","25.85","70.57","8.50","3.70","3.02","0.00","22.66","80.74","23.93","26.21"
"184.","Angel One","220.90","26.13","20081.05","2.08","268.66","-4.55","1334.90","5.76","25.80","28.87","36.98","3.52","2.17","0.77","27.07","8.49","36.12","36.15"
"185.","Tata Technolog.","518.95","32.06","21068.27","1.46","6.64","-21.70","1365.73","3.67","25.80","55.21","70.11","6.01","2.61","0.07","19.91","13.10","21.67","27.41"
"186.","Shriram Pistons","2936.45","23.08","12935.04","0.32","125.70","17.91","1023.20","20.67","25.70","43.75","8.69","4.88","2.91","0.20","23.20","123.29","23.29","26.02"
"187.","Innovana Think.","339.25","15.04","700.89","0.00","8.97","-18.22","34.89","20.64","25.60","72.65","0.00","2.69","3.44","0.19","22.92","22.70","24.55","27.97"
"188.","Shivalik Bimetal","394.50","24.87","2272.52","0.68","22.18","25.38","134.23","8.88","25.57","33.17","20.18","5.13","1.76","0.11","20.60","15.77","26.49","32.16"
"189.","Ganesh Green","246.00","12.18","610.13","0.00","32.91","151.57","341.10","147.48","25.22","73.42","0.00","2.57","3.93","0.15","23.03","20.17","27.94","29.30"
"190.","Denta Water","226.00","9.20","603.42","1.12","14.26","-4.68","53.52","4.23","25.17","71.91","0.00","1.34","2.68","0.03","18.43","24.52","32.61","56.90"
"191.","Vadilal Inds.","4230.00","24.87","3041.37","0.45","-0.15","-101.34","238.02","16.76","25.11","64.73","10.04","3.87","4.00","0.26","24.00","170.07","27.35","25.93"
"192.","Systematix Corp.","58.25","27.59","795.30","0.17","0.69","-96.93","33.60","-20.51","25.09","70.58","3.00","2.47","2.17","0.06","20.43","2.12","23.31","26.95"
"193.","Jash Engineering","342.95","38.79","2157.35","0.56","13.06","-61.75","160.50","-11.17","24.95","43.44","14.31","4.86","3.18","0.25","22.35","8.85","22.90","24.19"
"194.","Venus Pipes","916.40","18.85","1898.39","0.11","25.61","45.19","296.70","28.27","24.95","48.41","2.20","3.54","1.76","0.36","19.78","48.72","21.04","25.43"
"195.","Epigral","826.20","10.55","3564.33","0.72","39.15","-62.19","597.12","-7.46","24.88","68.83","7.26","1.71","2.41","0.26","22.30","78.28","24.77","24.81"
"196.","Indegene","424.30","23.24","10203.53","0.45","102.90","-6.20","942.10","30.77","24.80","0.00","11.78","3.55","3.61","0.04","20.59","18.28","24.33","28.91"
"197.","Knowledge Marine","1450.00","55.63","3544.39","0.00","32.90","90.78","90.01","56.24","24.67","53.63","0.00","14.79","8.96","0.61","25.77","27.89","29.41","34.28"
"198.","Vidya Wires","51.07","23.59","1086.31","0.00","15.56","47.77","448.16","29.37","24.49","72.80","0.00","5.73","2.43","0.79","28.01","2.57","25.32","21.13"
"199.","Shri Ahimsa","235.00","20.31","550.62","0.00","14.83","52.73","60.52","48.62","24.38","68.68","0.00","3.25","2.91","0.00","18.55","11.61","32.16","52.72"
"200.","Cellecor Gadgets","24.15","14.88","532.93","0.00","19.53","33.58","641.49","50.69","24.21","46.30","0.00","2.88","2.88","0.80","25.13","1.63","30.12","39.01"
"201.","Khazanchi Jewell","644.90","20.90","1595.93","0.15","25.13","103.15","589.02","49.60","24.07","74.51","5.51","5.92","2.86","0.22","21.43","30.86","22.48","20.33"
"202.","Saksoft","114.35","11.48","1515.78","0.70","29.02","21.13","250.78","10.56","24.04","66.68","9.35","2.20","3.44","0.07","18.94","9.61","20.64","26.72"
"203.","Fineotex Chem","20.83","25.03","2425.71","0.38","30.12","-4.63","183.71","45.89","23.76","62.30","8.47","3.12","2.41","0.00","18.37","0.84","24.48","32.97"
"204.","Cello World","397.00","27.80","8769.17","0.36","69.41","-20.54","553.66","-0.57","23.72","75.00","9.78","3.83","3.29","0.00","20.43","14.06","35.71","36.04"
"205.","EPack PrefabTech","141.40","17.25","1420.36","0.00","16.85","45.01","325.24","22.12","23.71","65.06","0.00","2.02","3.18","0.32","22.77","9.26","24.15","24.23"
"206.","Accent Microcell","345.55","23.92","828.94","0.28","18.07","9.71","139.37","10.58","23.66","55.44","6.36","3.32","3.02","0.00","18.44","14.45","23.28","27.13"
"207.","U P Hotels","1450.00","26.01","783.00","0.00","16.60","-2.58","56.77","2.81","23.58","88.39","0.00","4.29","2.47","0.00","17.68","55.74","20.49","27.84"
"208.","OBSC Perfection","280.00","34.22","684.67","0.00","10.51","44.57","88.64","31.05","23.41","69.77","0.00","5.98","2.91","0.37","24.96","8.18","31.40","24.66"
"209.","Kovai Medical","5155.50","23.94","5640.14","0.19","65.02","12.49","407.00","14.63","23.31","56.52","5.24","4.76","5.73","0.34","21.23","215.50","20.65","20.90"
"210.","Mahanagar Gas","908.75","9.28","8976.46","3.20","201.97","-10.38","2058.28","17.11","22.89","32.50","28.36","1.47","1.83","0.03","17.72","97.91","21.80","28.76"
"211.","Karnika Industri","114.70","28.42","711.11","0.09","6.29","346.10","60.42","301.73","22.82","73.39","0.00","8.40","2.45","0.78","26.96","3.25","30.22","24.39"
"212.","Dr Reddy's Labs","1252.55","18.72","104544.47","0.63","1189.60","-14.42","8753.40","4.44","22.69","26.64","11.80","3.00","3.02","0.16","17.96","66.72","20.10","25.32"
"213.","Piccadily Agro","521.60","38.71","5141.46","0.00","47.69","92.53","276.32","51.58","22.68","68.62","0.00","6.42","2.44","0.40","20.07","13.72","20.90","21.69"
"214.","Nucleus Soft.","779.45","12.69","2051.96","1.63","20.70","0.31","220.03","6.97","22.60","73.60","20.19","2.42","2.50","0.01","16.82","55.82","20.20","27.23"
"215.","Adani Power","148.05","24.87","285509.93","0.00","2488.09","-18.89","12451.44","-8.92","22.54","74.96","0.00","5.01","2.50","0.83","26.10","5.94","40.43","23.53"
"216.","Vasa Denticity","383.95","48.46","665.61","0.00","1.56","-60.90","71.47","13.75","22.42","60.75","0.00","3.89","3.99","0.00","16.39","8.10","25.36","49.17"
